epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,269.061,0.55351,0.49982,0.91666,0.9853,0.97845,0.99447,0.90926,0.46028,0.32826,0.88241,0.001288,0.001288,0.001288
90,271.93,0.53514,0.47376,0.89672,0.99167,0.97654,0.99447,0.90595,0.47639,0.33107,0.87566,0.001189,0.001189,0.001189
91,301.004,0.50054,0.39213,0.87417,0.98285,0.97854,0.99447,0.9123,0.47499,0.33249,0.87915,0.00109,0.00109,0.00109
92,304.145,0.47189,0.35083,0.86567,0.99214,0.9929,0.995,0.90989,0.45273,0.32145,0.87669,0.000991,0.000991,0.000991
93,307.125,0.47766,0.35252,0.8694,0.98707,0.98891,0.995,0.90498,0.46944,0.31678,0.87993,0.000892,0.000892,0.000892
94,309.896,0.47781,0.36064,0.8604,0.98707,0.97989,0.99447,0.91443,0.45146,0.31066,0.8698,0.000793,0.000793,0.000793
95,312.974,0.4647,0.34414,0.85488,0.98679,0.99607,0.995,0.91689,0.43783,0.29952,0.86079,0.000694,0.000694,0.000694
96,315.726,0.46252,0.34035,0.85881,0.98739,0.99623,0.995,0.92327,0.43763,0.30007,0.86792,0.000595,0.000595,0.000595
97,318.796,0.46111,0.32572,0.85092,0.99017,0.99646,0.995,0.92021,0.43591,0.28773,0.86627,0.000496,0.000496,0.000496
98,321.804,0.43761,0.31891,0.854,0.9915,1,0.995,0.92441,0.43563,0.28674,0.86583,0.000397,0.000397,0.000397
99,324.702,0.44797,0.32557,0.84262,0.99039,0.99887,0.995,0.92215,0.43239,0.28676,0.86485,0.000298,0.000298,0.000298
100,327.554,0.43942,0.32827,0.84703,0.99082,1,0.995,0.92402,0.42685,0.27927,0.86475,0.000199,0.000199,0.000199
